timestamp,platform_type,platform_model,platform_id,mission_type,zone,event_details,weapons_used,detections,casualties_reported,battery_or_fuel,mission_outcome,summary
2025-01-06 16:39:38,Drone,RQ-11,RQ-11-95,Strike/Attack,Sector B2,Engagement: fired Precision-Guided Munition at armored vehicle. Confirmed hits: 2. Estimated casualties: 0.,Precision-Guided Munition,0,0,13% battery,Mission Completed,RQ-11-95 conducted a Strike/Attack in Sector B2. Weapons used: Precision-Guided Munition. Outcome: Mission Completed
2024-12-25 10:33:38,Drone,Hermes 450,Hermes 450-78,Surveillance,Corridor 7,Camera capture: collected 369 images. Detected 3 suspicious object(s).,None,369,0,45% battery,Return to Base - Low Fuel,Hermes 450-78 performed Surveillance in Corridor 7. Detected 369 suspicious objects. Outcome: Return to Base - Low Fuel
2025-02-03 16:05:38,Drone,MQ-1,MQ-1-90,Electronic Warfare,Zone X5,Engagement: fired Precision-Guided Munition at fuel depot. Confirmed hits: 0. Estimated casualties: 2.,Precision-Guided Munition,0,2,22% battery,Aborted - Mechanical,MQ-1-90 conducted a Electronic Warfare in Zone X5. Weapons used: Precision-Guided Munition. Outcome: Aborted - Mechanical
2025-06-15 15:51:38,Jet,JAS 39,JAS 39-370,Surveillance,Checkpoint Delta,RADAR capture: collected 203 images. No suspicious objects detected.,Thermal Sensor,0,0,85% fuel,Target Engaged,JAS 39-370 performed Surveillance in Checkpoint Delta. No suspicious objects detected. Outcome: Target Engaged
2024-10-08 09:06:38,Jet,JAS 39,JAS 39-296,Patrol,Sector A2,Camera capture: collected 405 images. Detected 1 suspicious object(s).,Precision-Guided Munition,405,0,34% fuel,Return to Base - Low Fuel,JAS 39-296 performed Patrol in Sector A2. Detected 405 suspicious objects. Outcome: Return to Base - Low Fuel
2024-12-06 23:14:38,Jet,Typhoon,Typhoon-564,Patrol,Zone X5,RADAR capture: collected 117 images. Detected 1 suspicious object(s).,Cannon,117,0,87% fuel,Mission Completed,Typhoon-564 performed Patrol in Zone X5. Detected 117 suspicious objects. Outcome: Mission Completed
2025-05-09 00:09:38,Drone,Hermes 450,Hermes 450-94,Reconnaissance,Sector B1,RADAR capture: collected 483 images. Detected 1 suspicious object(s).,None,483,0,17% battery,Mission Completed,Hermes 450-94 performed Reconnaissance in Sector B1. Detected 483 suspicious objects. Outcome: Mission Completed
2025-01-01 06:48:38,Drone,MQ-9,MQ-9-52,Strike/Attack,Sector A2,Engagement: fired Missile at fuel depot. Confirmed hits: 2. Estimated casualties: 2.,Missile,0,2,92% battery,Target Engaged,MQ-9-52 conducted a Strike/Attack in Sector A2. Weapons used: Missile. Outcome: Target Engaged
2025-06-16 20:39:38,Jet,MiG-29,MiG-29-352,Patrol,Corridor 7,RADAR capture: collected 309 images. Detected 3 suspicious object(s).,Missile,309,0,51% fuel,Mission Completed,MiG-29-352 performed Patrol in Corridor 7. Detected 309 suspicious objects. Outcome: Mission Completed
2024-11-09 16:32:38,Drone,Hermes 450,Hermes 450-64,Surveillance,Sector A1,RADAR capture: collected 91 images. Detected 3 suspicious object(s).,None,91,0,58% battery,Target Engaged,Hermes 450-64 performed Surveillance in Sector A1. Detected 91 suspicious objects. Outcome: Target Engaged
2025-08-29 10:59:38,Jet,JAS 39,JAS 39-357,Close Air Support,Sector A1,Engagement: fired Unguided Rocket at radar installation. Confirmed hits: 1. Estimated casualties: 0.,Unguided Rocket,0,0,42% fuel,Target Engaged,JAS 39-357 conducted a Close Air Support in Sector A1. Weapons used: Unguided Rocket. Outcome: Target Engaged
2025-05-28 17:24:38,Jet,F-16,F-16-839,Patrol,Zone X3,RADAR capture: collected 477 images. No suspicious objects detected.,Thermal Sensor,0,0,86% fuel,Target Engaged,F-16-839 performed Patrol in Zone X3. No suspicious objects detected. Outcome: Target Engaged
2025-06-12 12:30:38,Drone,MQ-1,MQ-1-48,Reconnaissance,Corridor 7,Camera capture: collected 175 images. Detected 4 suspicious object(s).,None,175,0,56% battery,Return to Base - Low Fuel,MQ-1-48 performed Reconnaissance in Corridor 7. Detected 175 suspicious objects. Outcome: Return to Base - Low Fuel
2024-10-24 14:38:38,Jet,MiG-29,MiG-29-159,Reconnaissance,Hilltop 4,RADAR capture: collected 258 images. No suspicious objects detected.,Precision-Guided Munition,0,0,21% fuel,Mission Completed,MiG-29-159 performed Reconnaissance in Hilltop 4. No suspicious objects detected. Outcome: Mission Completed
2025-07-22 01:05:38,Jet,JAS 39,JAS 39-269,Strike/Attack,Corridor 7,Engagement: fired Missile at radar installation. Confirmed hits: 1. Estimated casualties: 2.,Missile,0,2,90% fuel,No Target Found,JAS 39-269 conducted a Strike/Attack in Corridor 7. Weapons used: Missile. Outcome: No Target Found
2025-01-07 14:13:38,Jet,JAS 39,JAS 39-562,Surveillance,Sector B2,RADAR capture: collected 20 images. Detected 1 suspicious object(s).,Camera,20,0,5% fuel,Mission Completed,JAS 39-562 performed Surveillance in Sector B2. Detected 20 suspicious objects. Outcome: Mission Completed
2024-10-21 04:07:38,Drone,MQ-1,MQ-1-9,Surveillance,Zone X5,Camera capture: collected 152 images. Detected 4 suspicious object(s).,None,152,0,83% battery,Target Engaged,MQ-1-9 performed Surveillance in Zone X5. Detected 152 suspicious objects. Outcome: Target Engaged
2024-11-03 09:19:38,Drone,Bayraktar,Bayraktar-53,Reconnaissance,Sector A2,Thermal Sensor capture: collected 191 images. Detected 3 suspicious object(s).,None,191,0,16% battery,No Target Found,Bayraktar-53 performed Reconnaissance in Sector A2. Detected 191 suspicious objects. Outcome: No Target Found
2024-11-08 19:04:38,Drone,RQ-11,RQ-11-52,Patrol,Zone X5,Camera capture: collected 107 images. Detected 4 suspicious object(s).,None,107,0,45% battery,Target Engaged,RQ-11-52 performed Patrol in Zone X5. Detected 107 suspicious objects. Outcome: Target Engaged
2025-08-14 05:45:38,Drone,Bayraktar,Bayraktar-71,Surveillance,Sector A1,Camera capture: collected 17 images. No suspicious objects detected.,None,0,0,72% battery,Target Engaged,Bayraktar-71 performed Surveillance in Sector A1. No suspicious objects detected. Outcome: Target Engaged
2025-04-01 20:51:38,Jet,F-16,F-16-268,Electronic Warfare,Sector A1,Engagement: fired Unguided Rocket at hostile personnel. Confirmed hits: 2. Estimated casualties: 5.,Unguided Rocket,0,5,98% fuel,Forced Landing,F-16-268 conducted a Electronic Warfare in Sector A1. Weapons used: Unguided Rocket. Outcome: Forced Landing
2024-10-14 06:39:38,Jet,MiG-29,MiG-29-294,Strike/Attack,Sector B2,Engagement: fired Precision-Guided Munition at radar installation. Confirmed hits: 1. Estimated casualties: 0.,Precision-Guided Munition,0,0,11% fuel,Target Engaged,MiG-29-294 conducted a Strike/Attack in Sector B2. Weapons used: Precision-Guided Munition. Outcome: Target Engaged
2024-10-20 06:56:38,Drone,RQ-11,RQ-11-66,Surveillance,Sector B1,Thermal Sensor capture: collected 355 images. Detected 1 suspicious object(s).,None,355,0,82% battery,Mission Completed,RQ-11-66 performed Surveillance in Sector B1. Detected 355 suspicious objects. Outcome: Mission Completed
2025-07-01 04:12:38,Drone,Hermes 450,Hermes 450-11,Electronic Warfare,Hilltop 4,Engagement: fired Missile at fuel depot. Confirmed hits: 1. Estimated casualties: 0.,Missile,0,0,43% battery,Aborted - Weather,Hermes 450-11 conducted a Electronic Warfare in Hilltop 4. Weapons used: Missile. Outcome: Aborted - Weather
